x	pi	mw	tpm
XP_010923075.1	8.852	18.10431	217.3582
XP_019705677.1	4.89	73.93999	237.0975
XP_010938295.1	6.562	18.58956	103.9737
XP_010918695.1	9.52	48.13439	632.8471
XP_019701443.1	8.811	22.47276	54.44008
XP_010912255.1	9.002	13.28225	495.1063
XP_010919828.1	6.667	21.73603	78.65698
XP_019702557.1	9.92	28.80246	57.02372
XP_010931733.1	5.242	37.22207	132.224
XP_010933904.1	5.123	11.86377	472.2567
XP_010939312.1	4.801	49.69002	332.015
XP_010930964.1	5.904	19.09441	1938.847
XP_010914930.1	7.683	38.05608	139.4256
XP_010923289.1	8.883	14.57243	74.25105
XP_010937673.1	7.102	50.43424	248.1063
XP_010930181.1	6.499	17.0233	259.8124
XP_010940708.1	10.716	21.3621	258.2288
XP_010920892.1	5.386	34.0845	68.31095
XP_010906241.1	7.373	54.31045	92.02552
XP_010920670.1	5.493	16.01036	68.24824
XP_010910047.1	3.754	17.10972	407.732
XP_019703495.1	10.314	8.04461	859.6709
XP_010924611.1	9.68	30.61029	58.99786
XP_010914349.1	5.66	63.66187	118.5191
XP_010909511.1	9.941	14.07953	211.1281
XP_010913268.1	4.666	67.77659	75.40203
XP_010924953.1	9.568	25.73652	62.75993
XP_019702999.1	7.04	22.0114	350.8263
XP_010940693.1	10.719	18.75979	358.8216
XP_010940588.1	9.27	25.29983	52.93346
XP_010918651.1	10.529	12.84122	84.73087
XP_010913792.1	6.196	22.83925	277.317
XP_010937796.2	7.611	82.2586	59.03013
XP_010911210.1	6.055	25.78376	511.2107
XP_010927507.1	8.011	27.7617	230.6033
XP_010927913.1	9.215	34.67346	117.0457
XP_010910567.1	11.566	8.02119	1405.434
XP_019709691.1	5.14	35.67436	98.61703
XP_010920259.1	9.533	46.78915	133.337
XP_010910380.1	9.023	26.25314	442.7536
XP_010916870.1	5.079	13.85291	59.25478
XP_010926950.1	11.528	18.4563	59.38573
XP_010931643.1	6.608	23.97828	132.6827
XP_019711135.1	5.858	21.02109	319.2092
XP_010933920.1	10.285	11.52937	111.6394
XP_010938612.1	6.323	54.58039	115.7441
XP_010934484.1	8.111	12.38428	111.3927
XP_010906615.1	9.097	47.94201	219.2635
XP_010910677.1	4.603	12.57383	91.20254
XP_010916226.1	6.04	67.67732	379.1796
XP_010906009.1	6.744	62.61917	58.33502
XP_010942537.1	5.79	45.0624	80.07407
XP_010913831.1	5.13	45.3532	64.51745
XP_010912953.1	5.85	14.75578	124.2763
XP_010940308.1	10.63	17.37265	305.8257
XP_010934725.1	5.219	14.5786	283.7164
XP_010930993.1	5.232	41.62464	65.80456
XP_010915257.1	10.335	27.42102	114.1421
XP_010928624.1	9.02	8.10823	163.7449
XP_010915493.1	7.721	31.0439	70.55123
XP_010936017.1	9.883	8.56199	135.0394
XP_019710993.1	7.199	98.07041	70.59185
XP_010911057.1	6.583	34.57049	53.06613
XP_010925151.1	6.112	19.34969	184.0036
XP_010939834.1	4.639	36.56125	52.06126
XP_010942737.1	7.177	11.44624	60.64311
XP_010930272.1	6.714	42.9093	96.74213
XP_010911673.1	10.116	15.52685	667.1797
XP_010924617.1	4.838	10.7292	73.67302
XP_010922052.1	7.091	10.53122	63.13523
XP_010932607.1	6.141	42.9952	52.27146
XP_010927364.1	5.502	27.22006	1863.263
XP_010942329.1	11.044	14.96754	299.9411
XP_010910206.1	6.648	35.42583	63.15744
XP_010923800.1	6.225	25.28047	376.1195
XP_019705048.1	9.926	14.52463	60.91721
XP_010907405.1	7.636	61.89084	100.4713
XP_010924024.2	4.896	27.90813	81.55818
XP_010913558.1	9.139	19.98822	112.3798
XP_010934068.1	7.942	12.77452	128.87
XP_010933285.1	8.925	62.83171	85.79648
XP_010926111.1	6.029	39.32136	51.1961
XP_010920809.1	4.883	24.52436	146.3259
XP_010938559.1	8.094	34.42923	199.9395
XP_010927631.1	9.801	19.95724	61.55419
XP_019707407.1	8.141	31.40627	355.069
XP_010916269.1	7.647	59.32156	89.69956
XP_010937316.1	5.169	69.15156	170.5802
XP_019704484.1	6.184	113.02425	55.71516
XP_010911818.1	8.937	10.8744	127.5838
XP_019704759.1	12.121	6.98521	235.591
XP_010929235.2	8.265	38.22682	131.6146
XP_010925968.2	8.352	50.4693	55.64492
XP_010939284.1	8.633	34.65642	79.02347
XP_010939883.1	6.452	44.24465	121.2769
XP_010933328.1	8.547	16.41501	378.8153
XP_010937018.2	8.097	25.05089	137.9034
XP_010905722.1	10.132	14.81439	518.0521
XP_010920294.1	12.132	10.97184	118.1113
XP_010912158.1	8.74	35.46903	332.7283
XP_010908070.1	8.351	19.64752	197.4267
XP_010914484.1	11.632	21.04596	388.404
XP_010904665.1	10.539	12.94485	69.88324
XP_010911735.1	4.364	15.34943	607.3314
XP_010915026.1	5.049	33.91638	57.04389
XP_010937969.1	8.241	12.03475	54.70882
XP_010907562.1	5.489	43.12846	125.6274
XP_010914869.1	9.022	19.77186	51.11689
XP_010939907.1	11.04	16.43934	218.2496
NP_001306835.1	5.15	41.68972	98.55934
XP_010933526.1	6.884	57.40181	54.29528
XP_010916202.1	4.983	18.30888	131.4863
XP_010936049.1	5.928	15.67417	112.7313
XP_010928519.1	5.081	43.77231	70.26055
XP_010913943.1	7.951	32.72096	85.89597
XP_010923740.1	4.967	19.59023	69.9696
XP_010907658.1	5.533	38.52663	67.29053
XP_019701713.1	10.776	29.60494	81.6814
XP_010931343.1	8.981	13.09211	79.14476
XP_019710840.1	9.778	40.05606	195.764
XP_010930358.1	6.274	25.00968	451.2997
XP_010905343.2	10.058	27.60346	53.44427
XP_010906670.1	6.418	48.93906	56.31166
XP_010942107.1	6.675	52.29926	125.8627
XP_010908336.1	5.733	49.58963	135.0669
XP_010935173.1	4.336	20.25549	278.8053
XP_010909636.1	6.037	38.18933	113.0173
XP_010923429.2	7.627	71.2686	74.53844
XP_010919038.1	5.637	45.85911	741.1556
XP_019706236.1	5.037	71.11367	68.22905
XP_010922610.1	5.552	36.32965	94.02482
XP_010910448.1	4.601	25.81131	121.2708
XP_010926697.1	6.494	46.6773	139.9295
XP_010923506.1	10.997	45.24053	73.22307
XP_010922320.1	5.648	27.13107	170.0691
XP_010926151.1	9.508	16.66571	1283.731
XP_010918524.1	9.499	26.34176	69.72407
XP_010935853.1	8.321	30.81595	407.428
XP_010915628.1	8.313	26.939	60.33792
XP_010913660.1	5.497	26.93202	51.49331
XP_010907155.1	4.051	11.46877	72.26586
XP_010929159.1	6.304	35.90725	57.58919
XP_010913965.1	4.713	36.78038	103.3327
XP_010940180.1	8.219	22.92387	53.10911
XP_010906974.1	8.572	55.72627	973.8841
XP_010912008.1	10.375	44.47791	354.7398
XP_010935930.1	9.79	28.42618	62.27496
XP_010935046.1	9.09	30.54633	90.62462
XP_010939495.1	11.774	13.81728	68.33612
XP_010935188.1	11.549	27.44228	62.97346
XP_010930879.1	8.432	16.52761	85.74563
XP_010929872.1	4.941	71.13117	123.8347
XP_010917091.1	9.47	31.60558	150.5534
NP_001291356.1	6.583	24.06925	309.1781
XP_010935227.1	8.285	8.50542	160.645
XP_010941630.2	5.915	20.34241	88.54075
XP_019701838.1	10.214	11.52535	282.88
XP_010926749.1	7.993	28.7742	55.06108
XP_010922626.1	6.763	49.94598	93.67225
XP_010939175.1	9.546	8.78828	121.6734
XP_010914498.1	6.987	18.27544	104.1556
XP_010942972.1	6.443	53.03634	98.14692
XP_010905246.1	6.449	25.59122	61.80941
XP_010927122.1	8.034	71.11771	257.7897
XP_010926475.1	5.946	14.08421	111.7091
XP_010918007.1	5.783	55.47271	73.86191
XP_010940615.1	9.245	46.18511	152.029
XP_010925547.1	9.16	37.09019	58.85882
XP_010913985.1	4.751	17.48303	153.2584
XP_010939220.2	6.007	41.20747	201.8112
XP_010920029.2	8.996	65.56385	75.2087
XP_010930147.1	5.03	46.71998	215.6967
XP_010913649.1	5.713	59.44147	125.9846
XP_010910959.1	4.454	10.6948	137.9657
XP_010927260.2	10.472	28.60579	312.2115
XP_010915616.1	5.575	47.51116	230.5806
XP_019710951.1	6.315	67.06975	322.8822
XP_010922826.1	5.386	61.16337	65.16516
XP_019702949.1	10.369	28.56872	112.7715
XP_010919897.2	5.963	30.06284	454.1352
XP_010941412.1	10.972	14.41182	101.0266
XP_010908404.1	9.516	75.40414	92.34722
XP_010935109.1	4.927	24.19968	2006.387
XP_010907824.1	8.528	16.73629	318.5327
XP_010910303.1	8.135	20.63139	77.83942
XP_010912354.1	6.369	16.59696	114.7497
XP_010905161.1	10.794	25.0898	78.29206
XP_010942017.1	4.561	16.03106	83.52042
XP_010914787.1	6.163	59.83314	113.5056
XP_010924558.1	7.433	56.49842	113.6897
XP_010910276.1	9.527	59.43055	59.90007
XP_010940715.1	10.688	15.03079	311.8663
XP_010912459.1	9.977	20.09672	260.3446
XP_010925808.1	9.187	51.26638	328.8545
XP_010918907.1	5.472	28.82136	83.98046
XP_010917618.1	6.09	38.01476	200.3849
XP_010908497.1	7.889	12.12581	921.5444
XP_010934641.1	9.854	32.21938	62.85795
XP_010911281.1	7.203	28.87166	58.00845
XP_010912766.1	8.986	37.99223	58.29637
XP_010909722.1	4.644	23.53643	859.6642
XP_010921707.1	7.218	36.96719	61.68097
XP_010933004.1	9.604	54.88796	65.38192
XP_010922789.1	5.322	46.82845	91.06606
XP_010938844.1	8.314	63.90632	54.49649
XP_010919751.1	5.918	17.98241	54.1831
XP_010918445.1	8.532	32.15174	105.7225
XP_019702122.1	6.296	38.84363	57.16069
XP_010930794.1	10.895	10.26802	460.9313
XP_010937642.1	11.797	12.4248	89.61554
XP_010926710.1	10.649	20.57681	887.683
XP_010920797.1	8.818	49.21005	65.23606
XP_010914198.1	9.238	59.03375	166.8685
XP_010922382.1	11.061	15.56238	2002.185
XP_010931832.1	8.457	32.81748	255.1501
XP_010921168.2	5.738	19.42332	63.38382
XP_010910465.1	9.67	12.211	112.4947
XP_010933260.1	9.329	19.49122	255.2462
XP_010920665.1	8.104	50.04699	55.90372
XP_010909149.1	8.53	62.83357	167.108
XP_010930536.2	7.628	44.06688	655.2845
XP_010935493.1	9.366	28.63028	302.1989
XP_010941043.1	9.941	13.641	91.4084
XP_010938214.1	10.143	26.28991	146.2304
XP_010917311.1	7.128	24.2136	61.27174
XP_010928050.1	9.224	24.14314	78.22283
XP_010933014.1	5.502	30.03823	3662.46
XP_019704997.1	4.745	23.53088	64.86674
XP_010914424.1	8.18	9.28449	64.38727
XP_010919518.1	8.469	10.67095	148.1759
XP_010919645.1	6.311	46.68553	70.46015
XP_010942106.2	9.286	107.84679	241.4216
XP_010928662.1	4.27	9.70712	131.0541
XP_010912531.1	9.245	15.01676	75.20869
XP_010928985.1	5.734	17.63773	82.36853
XP_010921286.1	5.142	43.16562	50.82071
XP_010917611.1	7.503	61.19443	71.76461
XP_010916901.1	9.266	49.35515	50.94309
XP_010942154.1	10.051	50.9137	68.46534
XP_010922642.1	4.927	70.36934	53.82164
XP_010907760.1	7.879	37.09646	58.26396
XP_010914912.1	10.928	23.7803	57.18992
XP_010921053.1	9.914	14.24932	218.8171
XP_010913436.1	5.17	55.12538	67.30434
XP_010937143.1	5.018	25.92302	52.99348
XP_010905741.1	4.139	53.5183	66.60676
XP_010919385.1	6.672	21.452	79.48957
XP_010914718.1	5.727	13.53059	109.0387
XP_010912228.1	4.428	34.41341	109.9829
XP_010918668.1	9.439	35.49853	661.0833
XP_010912075.1	5.444	48.39653	107.1497
XP_010908603.1	6.688	28.54038	387.0348
XP_010924871.1	7.689	56.95789	51.77395
XP_010910630.1	9.553	27.09351	93.11218
XP_010919627.1	11.69	24.28233	619.5776
XP_010912364.1	9.084	25.24217	54.83992
XP_010911531.1	6.708	16.23854	62.31234
XP_010909358.1	5.493	15.96832	92.04516
XP_010918619.1	5.962	14.7656	135.2199
XP_010928209.2	4.283	13.22793	98.28523
XP_010905781.1	6.782	96.11216	70.74306
XP_010937328.1	7.191	102.90379	71.69762
XP_010926242.1	10.764	16.3813	223.4772
XP_010915682.1	6.126	37.79136	52.61909
XP_010938713.1	8.128	28.88529	139.6692
XP_019704008.1	7.509	72.96585	126.386
XP_010916372.1	7.965	28.1182	334.0805
XP_010926819.1	10.602	20.58565	164.8039
XP_010936058.1	10.719	18.82186	91.14605
XP_010938633.1	8.703	11.62653	77.37529
XP_010934670.1	4.874	49.73125	103.1466
XP_010911251.1	9.291	21.61681	188.6292
XP_010915255.1	9.99	8.03853	94.01264
XP_010942948.1	9.249	26.6774	218.7918
XP_019710227.1	10.166	8.78755	59.52409
XP_010928909.1	7.135	16.6471	85.30323
XP_019705607.1	6.73	110.7001	56.12448
XP_010937685.1	10.917	16.13598	271.5726
XP_010932404.1	12.163	13.35105	190.0754
XP_010925692.1	7.992	37.54553	753.767
XP_010932224.1	6.127	38.5877	66.22251
XP_010933783.1	7.082	17.34009	67.78304
XP_019709046.1	12.54	6.48679	120.9195
XP_010933870.2	9.191	36.97431	64.31758
XP_019709702.1	4.764	139.9584	114.2318
XP_010906622.1	5.901	63.47948	76.46639
XP_010932550.1	4.22	20.79973	68.69289
XP_019703583.1	9.261	65.86617	100.0039
XP_019710200.1	4.646	19.41323	325.4955
XP_019705742.1	8.462	22.59324	5816.834
XP_010936731.1	5.608	59.67642	52.08049
XP_010938433.2	8.228	31.23422	57.15004
XP_010912205.1	4.789	36.38112	66.83054
XP_019709025.1	11.528	16.02565	97.41156
XP_010929094.1	5.782	53.69772	69.41964
XP_010936051.1	10.67	21.36408	272.7896
XP_019709473.1	9.752	47.93211	167.37
XP_019701504.1	10.003	23.54445	52.82348
XP_010933963.1	11.69	24.28233	170.7851
XP_019706796.1	9.593	16.39118	84.74411
XP_010905943.1	3.408	17.52725	84.37466
XP_010940248.1	5.494	21.8799	58.45559
XP_010939943.1	10.463	18.351	104.2617
XP_010937669.1	6.285	39.40604	120.2771
XP_010940680.1	9.696	19.59777	52.32439
XP_010934665.1	10.054	13.657	323.8468
XP_010934347.1	10.742	19.55956	559.5922
XP_010943713.1	5.101	16.97929	60.91561
XP_010921024.1	6.567	60.43663	155.536
XP_010929143.1	7.45	21.51294	67.08668
XP_010905235.1	5.249	26.23116	1215.643
XP_010928340.1	9.444	32.28594	74.14841
XP_010920097.1	8.589	29.92286	815.9614
XP_010911977.1	6.618	9.19451	171.5629
XP_010923309.1	5.795	9.5119	1003.978
XP_010907212.1	8.563	33.50049	170.4058
XP_010930337.1	7.583	30.95517	55.20941
XP_010906339.1	5.859	23.86336	209.2179
XP_010923507.1	7.172	76.68213	60.93881
XP_010926657.1	10.981	15.65651	60.02593
XP_010906036.1	11.048	30.02395	482.3052
XP_010925933.1	9.034	64.19526	77.38628
XP_010942794.1	8.52	29.38942	90.76221
XP_010915082.2	10.541	84.84763	379.7772
XP_010921043.1	8.092	12.137	220.2508
XP_010921978.1	9.11	112.89402	53.09195
XP_010924521.1	5.371	33.87443	107.2932
XP_010938564.1	4.824	47.50782	50.36753
XP_010942116.1	9.459	37.49239	80.8136
XP_010910158.1	6.075	30.26192	81.04063
XP_010905272.1	5.78	17.28589	167.5997
XP_010936716.1	10.837	15.73051	110.9928
XP_010940938.1	10.635	22.04622	1021.49
XP_010926404.1	8.031	39.79967	59.46671
XP_010932771.1	9.591	39.84894	71.02184
XP_010936963.1	9.761	26.35875	135.4832
XP_010939421.1	10.023	35.45609	59.79538
XP_010931758.1	4.347	46.76334	51.97522
XP_010912312.1	10.958	16.38079	129.3503
XP_010905792.1	8.507	42.48006	57.06938
XP_010920948.1	6.841	52.47939	64.13813
XP_010939731.1	9.257	66.97258	72.02139
XP_010940280.1	4.935	60.009	61.45683
XP_010943956.1	10.451	58.47101	88.98227
XP_010908763.1	5.734	26.95939	63.32712
XP_010939740.1	4.555	15.83068	50.35839
XP_010918671.1	9.416	33.76965	244.5149
XP_010926083.1	7.574	85.97539	55.4393
XP_010923479.1	5.14	25.2327	64.046
XP_010914158.1	11.519	25.51598	133.8468
XP_010923889.2	5.327	48.08455	222.0483
XP_010941801.1	6.101	32.736	126.9402
XP_010924422.1	5.957	25.96318	348.2804
XP_010915456.2	6.105	28.99345	59.2501
XP_010920949.1	7.058	50.73842	63.68245
XP_010915325.1	7.416	31.45723	72.38918
XP_010905030.1	9.887	26.77073	77.80253
XP_010919383.1	6.783	58.56203	53.21276
XP_010919048.1	6.397	27.53456	81.27042
XP_010905399.2	4.76	56.34907	171.878
XP_010905188.1	8.527	42.01973	201.3108
XP_010928866.1	9.978	42.95136	122.2029
XP_010912014.1	7.345	50.39108	50.28708
XP_010943648.1	6.138	66.20219	114.7191
XP_010941484.1	5.132	11.88121	194.9968
XP_010917186.1	5.545	20.55613	60.2173
XP_010943009.1	5.26	35.80272	73.22007
XP_010914674.1	6.639	20.69375	378.9572
XP_010932918.2	6.042	26.19662	78.93335
XP_010934403.2	5.128	36.26432	159.2863
XP_010926937.1	6.379	44.52516	61.68733
XP_010922628.1	6.659	23.14593	492.2444
XP_010932980.1	6.15	39.11375	98.0332
XP_010921184.1	6.08	94.80311	84.85163
XP_010939747.1	7.838	12.04786	168.8351
XP_010939624.1	9.349	49.40015	62.52917
XP_010904968.1	9.437	50.57211	764.7714
XP_010943930.1	5.258	34.87551	90.66151
XP_010936501.1	5.68	17.35558	108.2576
XP_010910070.1	6.742	49.59719	358.3725
XP_010914192.1	7.743	16.5021	142.7921
XP_010907805.1	5.661	32.35102	274.5062
XP_010931859.1	5.041	32.89644	88.08507
XP_010929416.1	9.23	17.80763	80.19769
XP_010926266.1	6.299	77.52365	244.2548
XP_010913675.1	10.654	12.84195	171.266
XP_019704499.1	7.338	40.67646	260.1185
XP_010940119.1	10.361	7.28735	146.4446
XP_010932264.1	4.353	37.00289	59.13202
XP_010942073.1	4.403	35.83712	84.08303
XP_010930935.1	6.766	40.50992	54.05419
XP_019702399.1	6.478	35.75168	285.6653
XP_010912686.1	4.625	82.28328	54.85099
XP_010931979.1	9.684	29.54118	445.1076
XP_019707808.1	8.603	13.73485	162.3607
XP_010926589.1	6.47	21.62974	74.52891
XP_010934939.1	5.607	27.12077	221.199
XP_010934741.1	3.539	3.15158	156.3942
XP_010926432.1	9.938	27.12551	55.65705
XP_019702109.1	8.359	18.61321	112.3064
XP_010936513.2	6.492	13.45939	54.9436
XP_010907453.1	9.237	10.93144	76.98185
XP_010907390.1	8.69	24.0603	127.0015
XP_010928264.1	5.426	15.14994	60.06634
XP_010911719.1	8.554	9.88578	93.94229
XP_019706735.1	9.788	8.26356	292.4467
XP_010933189.1	4.102	22.85118	626.6867
XP_010920527.1	8.152	50.90716	99.10149
XP_010940822.1	6.225	67.83253	262.301
XP_010926891.1	10.099	25.26262	236.365
XP_010926981.1	7.47	34.02082	174.9319
XP_010940458.1	7.416	38.513	82.62099
XP_010920412.1	5.825	23.92832	59.38922
XP_010914333.1	6.611	47.60895	75.15939
XP_010913108.1	10.737	25.24801	138.06
XP_010928884.1	4.847	16.83292	96.8277
XP_019708440.1	6.623	114.23044	207.0382
XP_010924854.1	6.662	22.58856	110.9649
XP_010907515.1	5.39	27.38497	191.914
XP_010923088.1	7.132	51.82641	54.16767
XP_010904920.1	9.195	48.85758	64.72517
XP_010931787.1	5.328	23.48839	52.22969
XP_010931909.1	8.189	44.45237	78.88683
XP_010934857.1	5.655	28.46837	71.24416
XP_019709725.1	7.784	55.39176	57.82067
XP_010917251.1	4.742	44.76858	82.60491
XP_010909417.1	5.57	64.76513	117.97
XP_010932346.2	8.366	80.63234	98.42698
XP_010920170.1	5.091	40.01815	107.0581
XP_019701506.1	11.754	23.4609	76.87884
XP_019711149.1	6.206	15.9398	10181.77
XP_010916517.1	5.307	68.76778	59.44429
XP_010920254.1	6.689	29.38561	1282.214
XP_010941256.1	10.419	19.55251	2126.931
XP_010925133.1	9.53	28.65978	108.3435
XP_010942803.1	7.373	62.62084	65.4352
XP_010914420.1	6.359	28.47345	179.7075
XP_010909936.1	6.445	37.41179	104.1471
XP_010940697.1	9.527	20.61886	60.38585
XP_010931218.1	11.542	15.34081	83.81305
XP_010942826.1	4.667	46.02961	438.3651
XP_019710156.1	6.23	10.44856	64.24358
XP_019710315.1	6.323	54.58039	116.7577
XP_010909285.1	7.059	48.27989	268.2797
XP_010922332.1	9.876	40.57285	67.35017
XP_019706631.1	11.378	7.44973	103.799
XP_010924474.1	5.177	30.30149	124.4208
XP_010934350.1	9.727	16.35835	128.8951
XP_010924170.1	6.004	60.06349	224.5784
